,회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,현금및현금성자산(IFRS),유동금융자산(IFRS),매출채권 및 기타유동채권(IFRS),상각후원가측정 유가증권(IFRS),매출채권(IFRS),미수금(IFRS),단기대여금(IFRS),선급금(IFRS),기타유동자산(IFRS),상품(IFRS),제품(IFRS),원재료(부재료)(IFRS),토지(IFRS),건물 및 부속설비(IFRS),기계장치(IFRS),차량운반구(IFRS),공구,회원권(IFRS),배출권자산(IFRS),매입채무(IFRS),미지급금(IFRS),미지급비용(IFRS),선수금(IFRS),당기법인세부채(미지급법인세)(IFRS),기타유동부채(IFRS),장기차입금(IFRS),보통주자본금(IFRS),주식발행초과금(IFRS),자기주식(IFRS),기타포괄손익누계액(IFRS),이익준비금(IFRS),미처분이익잉여금(결손금)(IFRS),매출액(수익)(IFRS),제품매출액(IFRS),기타수익(IFRS),종업원 급여비용(IFRS),급여(IFRS),퇴직급여(IFRS),복리후생비(IFRS),보험료(IFRS),여비교통비(IFRS),임차료(IFRS),접대비(IFRS),감가상각비(IFRS),광고선전비(IFRS),차량유지비(IFRS),연구개발비(IFRS),대손상각비(IFRS),기타(IFRS),이자수익(IFRS),외환차손(IFRS).1,외화환산손실(IFRS).1,법인세비용(IFRS),label
14,(주)신화다이나믹스,1770,2014,1,24,32401,  1차 금속 제조업 ,1988-11-23,,2719013.0,1080000.0,27583471.0,,30957916.0,548301.0,0.0,30148.0,165021.0,0.0,1705066.0,17499618.0,8973944.0,6594562.0,11958181.0,345682.0,509245.0,773041.0,,8351899.0,198794.0,49864.0,180849.0,,180849.0,0.0,6074390.0,1410861.0,0.0,-7372.0,2681900.0,405000.0,62011801.0,61169128.0,842673.0,4123169.0,1144609.0,5086.0,125658.0,62951.0,1870.0,3623.0,42522.0,296788.0,1300.0,35501.0,0.0,88942.0,68422.0,0.0,221436.0,10341.0,478906.0,1.0
15,(주)신화다이나믹스,1770,2015,1,24,32401,  1차 금속 제조업 ,1988-11-23,,4336663.0,528000.0,25522056.0,,25359949.0,132276.0,0.0,30041.0,111787.0,0.0,1627688.0,15147962.0,8973944.0,6594562.0,11991521.0,353944.0,522180.0,773041.0,,6314454.0,142619.0,64375.0,58600.0,,58600.0,0.0,6074390.0,1410861.0,0.0,-7716.0,2706190.0,1981288.0,57212357.0,56396530.0,815827.0,4196772.0,1140067.0,68912.0,126449.0,38054.0,3889.0,2669.0,43356.0,298904.0,1300.0,31545.0,0.0,1673110.0,15993.0,0.0,212784.0,9398.0,586271.0,1.0
16,(주)신화다이나믹스,1770,2016,1,24,32401,  1차 금속 제조업 ,1988-11-23,,5450625.0,287852.0,32276016.0,,38056467.0,592682.0,0.0,218033.0,391510.0,0.0,2528256.0,7706354.0,8973944.0,6594562.0,12050021.0,353944.0,552461.0,773041.0,,10088323.0,217245.0,53675.0,58600.0,,58600.0,0.0,6074390.0,1410861.0,0.0,-7562.0,2748690.0,467598.0,70158673.0,69600960.0,557713.0,4769818.0,1145258.0,70038.0,136769.0,59050.0,8493.0,2703.0,51585.0,303192.0,1300.0,26606.0,0.0,710061.0,1762.0,0.0,296342.0,37676.0,223000.0,1.0
17,(주)신화다이나믹스,1770,2017,1,24,32401,  1차 금속 제조업 ,1988-11-23,,6077438.0,336000.0,24736699.0,,30809629.0,581679.0,0.0,33168.0,42010.0,0.0,2303204.0,13655104.0,8973944.0,6594562.0,12091521.0,418742.0,756529.0,773041.0,,13170069.0,243293.0,54955.0,60898.0,,60898.0,1500000.0,6074390.0,1410861.0,0.0,-8249.0,2778990.0,-2072773.0,61275313.0,60846059.0,429254.0,4641453.0,1201425.0,86162.0,126334.0,68265.0,4538.0,2844.0,66032.0,355464.0,1300.0,24421.0,0.0,5624051.0,67017.0,0.0,341278.0,370542.0,-566143.0,1.0
18,(주)신화다이나믹스,1770,2018,1,24,32401,  1차 금속 제조업 ,1988-11-23,,8733108.0,0.0,21590282.0,0.0,22152709.0,11127709.0,0.0,3592.0,57353.0,0.0,2646353.0,10464896.0,8973944.0,6594562.0,12388811.0,201611.0,760745.0,773041.0,0.0,12454331.0,512157.0,51779.0,50000.0,,50000.0,500000.0,6074390.0,1410861.0,0.0,-8162.0,2791090.0,-2486310.0,71644133.0,71177760.0,466373.0,4855253.0,1211598.0,64732.0,124091.0,53814.0,7590.0,2789.0,66527.0,359921.0,1300.0,16441.0,0.0,508484.0,198633.0,0.0,72354.0,17493.0,884629.0,1.0
19,(주)신흥,4080,2014,1,46,74605,  도매 및 상품 중개업 ,1991-02-08,,137949.0,1360104.0,19893385.0,,20638801.0,250.0,125151.0,477834.0,546865.0,25082273.0,5051540.0,1998659.0,9237227.0,19539092.0,533484.0,180273.0,0.0,1254181.0,,9179797.0,1368323.0,702303.0,1542821.0,1646209.0,1701775.0,1016300.0,6733070.0,6040081.0,-775386.0,0.0,3398200.0,31051865.0,124180071.0,42731800.0,5522464.0,17805209.0,10595477.0,868703.0,1142993.0,293659.0,1426402.0,0.0,519127.0,1069588.0,4506893.0,0.0,713724.0,231738.0,638055.0,125503.0,408701.0,36036.0,1711634.0,1.0
20,(주)신흥,4080,2015,1,46,74605,  도매 및 상품 중개업 ,1991-02-08,,99261.0,1952861.0,20998863.0,,21954379.0,23146.0,2800.0,430343.0,828159.0,25925386.0,4334506.0,2017291.0,21417410.0,23574633.0,294392.0,166711.0,0.0,1254181.0,,8951163.0,762647.0,642090.0,1761342.0,298973.0,1919875.0,636300.0,6733070.0,6040081.0,-755910.0,0.0,3398200.0,33013441.0,125395067.0,43293392.0,5303085.0,17570435.0,10367370.0,917497.0,1188485.0,321459.0,1400162.0,0.0,466429.0,1102488.0,4857223.0,0.0,652803.0,308471.0,627658.0,136529.0,514140.0,276847.0,1598120.0,1.0
21,(주)신흥,4080,2016,1,46,74605,  도매 및 상품 중개업 ,1991-02-08,,197960.0,1925716.0,19291705.0,,20401302.0,24759.0,0.0,618993.0,1056500.0,18989168.0,3421735.0,1962386.0,20881353.0,22014762.0,583081.0,151854.0,0.0,571376.0,,8748174.0,661115.0,638420.0,1836632.0,304285.0,1965968.0,535300.0,6733070.0,6040081.0,-727779.0,0.0,3398200.0,32904377.0,124367361.0,44683162.0,5453596.0,17602481.0,10530599.0,838889.0,1077310.0,332848.0,1217344.0,0.0,385568.0,1127817.0,4005771.0,0.0,605030.0,154545.0,558390.0,57630.0,881801.0,107927.0,942972.0,1.0
22,(주)신흥,4080,2017,1,46,74605,  도매 및 상품 중개업 ,1991-02-08,,183809.0,1740009.0,21753316.0,,23556215.0,23146.0,2200.0,631567.0,988539.0,17658044.0,3131707.0,1984210.0,20904713.0,21035261.0,540852.0,150237.0,0.0,554358.0,,8343376.0,899046.0,737245.0,1458905.0,869284.0,1514338.0,387000.0,6733070.0,6040081.0,-683702.0,0.0,3398200.0,34538077.0,121146584.0,42905689.0,6105280.0,18174584.0,10419948.0,946083.0,1075571.0,237212.0,1158544.0,0.0,0.0,1092997.0,3379462.0,0.0,650256.0,1056972.0,816472.0,24813.0,501811.0,156398.0,1842160.0,1.0
23,(주)신흥,4080,2018,1,46,74605,  도매 및 상품 중개업 ,1991-02-08,,320129.0,3682454.0,22150877.0,0.0,24938496.0,20964.0,2000.0,933458.0,1306994.0,17847811.0,2600062.0,2092663.0,22321773.0,22616888.0,979104.0,312568.0,0.0,620786.0,0.0,9411713.0,1199613.0,870691.0,1710998.0,1553374.0,1827720.0,847650.0,6733070.0,6040081.0,-660468.0,0.0,3398200.0,35454801.0,121544612.0,45507512.0,6998878.0,18811483.0,11036353.0,875739.0,1239636.0,285524.0,1113582.0,0.0,0.0,1189425.0,3539836.0,0.0,695749.0,1010606.0,762091.0,26662.0,460592.0,96953.0,1989603.0,1.0
