기업명,거래소코드,기업유형,회계년도,이익 과대계상 (비용 과소계상)
(주)디오,39840,코스닥,2014,1
(주)디오,39840,코스닥,2015,1
(주)디오,39840,코스닥,2016,1
도이치모터스(주),67990,코스닥,2016,0
(주)알파홀딩스,117670,코스닥,2016,1
(주)한진피엔씨,61460,코스닥,2012,1
(주)한진피엔씨,61460,코스닥,2013,1
백광산업(주),1340,코스피,2015,1
백광산업(주),1340,코스피,2016,1
백광산업(주),1340,코스피,2017,1
백광산업(주),1340,코스피,2018,1
(주)효성,4800,코스피,2013,1
(주)효성,4800,코스피,2014,1
(주)효성,4800,코스피,2015,1
한솔홀딩스(주),4150,코스피,2012,1
한솔홀딩스(주),4150,코스피,2013,1
(주)삼일,32280,코스닥,2014,0
(주)삼일,32280,코스닥,2015,0
아래스(주)  / [구](주)에이앤티앤,50320,코스닥,2017,1
아래스(주)  / [구](주)에이앤티앤,50320,코스닥,2018,1
(주)시노펙스,25320,코스닥,2016,1
(주)시노펙스,25320,코스닥,2017,1
(주)씨엠에스에듀,225330,코스닥,2016,1
(주)씨엠에스에듀,225330,코스닥,2017,1
(주)청담러닝,96240,코스닥,2016,1
(주)청담러닝,96240,코스닥,2017,1
(주)엘앤케이바이오메드,156100,코스닥,2017,1
삼영이엔씨(주),65570,코스닥,2012,1
삼영이엔씨(주),65570,코스닥,2013,1
삼영이엔씨(주),65570,코스닥,2014,1
삼영이엔씨(주),65570,코스닥,2015,1
삼영이엔씨(주),65570,코스닥,2016,1
(주)제낙스,65620,코스닥,2012,1
(주)제낙스,65620,코스닥,2013,1
(주)제낙스,65620,코스닥,2014,1
(주)제낙스,65620,코스닥,2015,1
(주)제낙스,65620,코스닥,2016,1
(주)제낙스,65620,코스닥,2017,1
(주)제낙스,65620,코스닥,2018,1
(주)디지털대성,68930,코스닥,2014,1
(주)디지털대성,68930,코스닥,2015,1
(주)미래SCI / [구](주)스페로글로벌,28040,코스닥,2015,1
(주)미래SCI / [구](주)스페로글로벌,28040,코스닥,2016,1
(주)이엠앤아이 / [구](주)케이제이프리텍,83470,코스닥,2017,1
(주)지와이커머스,111820,코스닥,2017,1
나노캠텍(주),91970,코스닥,2018,0
(주)코디,80530,코스닥,2015,0
(주)코디,80530,코스닥,2016,1
(주)지엠알머티리얼즈,32860,코스닥,2012,0
(주)지엠알머티리얼즈,32860,코스닥,2013,1
(주)지엠알머티리얼즈,32860,코스닥,2014,1
(주)지엠알머티리얼즈,32860,코스닥,2015,1
(주)지엠알머티리얼즈,32860,코스닥,2016,0
(주)코리드,33430,코스닥,2012,0
(주)코리드,33430,코스닥,2014,1
(주)코리드,33430,코스닥,2015,1
(주)씨아이테크,4920,코스피,2014,1
(주)씨아이테크,4920,코스피,2015,1
한신공영(주),4960,코스피,2012,1
한신공영(주),4960,코스피,2013,1
(주)케이엔씨글로벌,68150,코스닥,2013,1
대우조선해양(주),42660,코스피,2012,1
대우조선해양(주),42660,코스피,2013,1
대우조선해양(주),42660,코스피,2014,1
대우조선해양(주),42660,코스피,2015,1
(주)뉴보텍,60260,코스닥,2014,1
(주)뉴보텍,60260,코스닥,2015,1
(주)뉴보텍,60260,코스닥,2016,1
(주)뉴보텍,60260,코스닥,2017,1
(주)뉴보텍,60260,코스닥,2018,1
(주)엘아이에스,138690,코스닥,2012,1
(주)엘아이에스,138690,코스닥,2013,1
(주)엘아이에스,138690,코스닥,2014,1
(주)엘아이에스,138690,코스닥,2015,1
(주)이노와이즈,86250,코스닥,2016,1
(주)이노와이즈,86250,코스닥,2017,1
이니텍(주),53350,코스닥,2015,1
(주)이수화학,5950,코스피,2012,1
(주)이수화학,5950,코스피,2013,1
(주)이수화학,5950,코스피,2014,1
(주)이수화학,5950,코스피,2015,1
(주)이수화학,5950,코스피,2016,1
(주)이수화학,5950,코스피,2017,1
(주)한진중공업,97230,코스피,2014,1
(주)한진중공업,97230,코스피,2015,1
(주)오리엔탈정공,14940,코스닥,2015,0
