회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,부가가치(IFRS)(백만원),법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원수(IFRS)
두산에너빌리티(주),34020,2019,1,29,32901,  기타 기계 및 장비 제조업 ,2000-10-25,,2929862.06,-63346.94,1993942.0,448373.0,0.0,0.0,550894.0,6721.0
삼화전자공업(주),11230,2016,1,26,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",1987-05-25,,15183.08,-361.73,9397.83,1706.43,0.0,0.0,4501.54,123.0
삼화전자공업(주),11230,2017,1,26,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 ",1987-05-25,,11659.55,-3154.26,8996.56,1536.06,0.0,0.0,4338.15,116.0
신일전자(주),2700,2013,1,46,74605,  도매 및 상품 중개업 ,1975-09-30,,17314.58,8029.35,7533.88,-29.38,765.48,492.92,598.18,109.0
아시아나항공(주),20560,2015,1,51,85101,  항공 운송업 ,2008-03-28,,1875923.16,-164378.29,889765.29,164707.83,559981.73,0.0,425846.62,9125.0
아시아나항공(주),20560,2016,1,51,85101,  항공 운송업 ,2008-03-28,,2057989.28,70296.26,857393.57,134006.23,602155.27,0.0,401336.39,8901.0
에스엘(주),5850,2013,1,30,33003,  자동차 및 트레일러 제조업 ,1988-11-08,,333103.21,100178.44,183884.6,2078.26,0.0,0.0,47489.55,1555.0
에스엘(주),5850,2014,1,30,33003,  자동차 및 트레일러 제조업 ,1988-11-08,,379120.06,126539.9,200897.89,-1843.55,0.0,0.0,54041.37,1587.0
에스엘(주),5850,2015,1,30,33003,  자동차 및 트레일러 제조업 ,1988-11-08,,395543.43,110209.39,227267.08,476.83,0.0,0.0,58038.45,1613.0
에스엘(주),5850,2016,1,30,33003,  자동차 및 트레일러 제조업 ,1988-11-08,,499234.89,166459.71,265162.9,2569.24,0.0,0.0,65491.67,2180.0
에스엘(주),5850,2017,1,30,33003,  자동차 및 트레일러 제조업 ,1988-11-08,,480490.26,119887.39,288974.7,1452.73,0.0,0.0,70699.06,2281.0
에스엘(주),5850,2018,1,30,33003,  자동차 및 트레일러 제조업 ,1988-11-08,,417615.36,30112.96,316776.17,367.45,0.0,0.0,71082.8,2350.0
참엔지니어링(주),9310,2012,1,29,32902,  기타 기계 및 장비 제조업 ,1987-11-12,,-7679.19,-28861.66,14432.54,2793.86,0.0,0.0,4015.93,221.0
참엔지니어링(주),9310,2013,1,29,32902,  기타 기계 및 장비 제조업 ,1987-11-12,,38417.62,17259.73,12178.5,4428.27,0.0,0.0,4483.22,235.0
참엔지니어링(주),9310,2014,1,29,32902,  기타 기계 및 장비 제조업 ,1987-11-12,,6536.68,-16677.53,13904.41,4638.65,0.0,0.0,4671.16,243.0
케이지케미칼(주),1390,2015,1,20,32001,  화학물질 및 화학제품 제조업; 의약품 제외 ,1989-08-25,,149968.79,57434.11,68670.03,3486.0,0.0,0.0,20378.64,223.0
코스모화학(주),5420,2013,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-07-23,,73053.05,-5134.13,36984.03,14790.64,0.0,0.0,26465.42,360.0
코스모화학(주),5420,2014,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-07-23,,24266.61,-56428.51,35725.47,17990.8,0.0,0.0,27269.46,398.0
코스모화학(주),5420,2015,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-07-23,,-36308.4,-122499.62,39074.58,18388.58,0.0,0.0,28993.6,392.0
코스모화학(주),5420,2016,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-07-23,,685.17,-72508.54,38440.21,17115.05,0.0,0.0,18161.25,177.0
코스모화학(주),5420,2017,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-07-23,,94333.3,24406.79,34462.63,12359.46,0.0,0.0,14517.36,183.0
티와이엠(주),2900,2015,1,29,32902,  기타 기계 및 장비 제조업 ,1973-06-26,,70811.11,4826.91,49930.2,4198.52,0.0,2356.21,9499.27,685.0
한국항공우주산업(주),47810,2012,1,31,33103,  기타 운송장비 제조업 ,2011-06-30,,444780.72,91483.87,283463.73,16026.4,0.0,0.0,53806.72,2970.0
한국항공우주산업(주),47810,2013,1,31,33103,  기타 운송장비 제조업 ,2011-06-30,,510263.43,92233.77,332234.67,6992.41,0.0,0.0,78802.58,3144.0
한국항공우주산업(주),47810,2014,1,31,33103,  기타 운송장비 제조업 ,2011-06-30,,643106.45,168769.89,383536.5,7312.75,0.0,0.0,83487.3,3231.0
한국항공우주산업(주),47810,2015,1,31,33103,  기타 운송장비 제조업 ,2011-06-30,,847277.72,343072.85,403419.7,11140.35,0.0,0.0,89644.82,3530.0
한국항공우주산업(주),47810,2016,1,31,33103,  기타 운송장비 제조업 ,2011-06-30,,895991.42,317133.75,463357.32,11192.97,0.0,0.0,104307.38,3905.0
한국항공우주산업(주),47810,2017,1,31,33103,  기타 운송장비 제조업 ,2011-06-30,,236805.18,-320282.34,455735.43,17708.67,0.0,0.0,83643.42,4156.0
한솔홀딩스(주),4150,2012,1,71,31701,  전문 서비스업 ,1972-05-17,,291959.61,42912.07,109930.0,70529.54,0.0,0.0,68588.0,890.0
한솔홀딩스(주),4150,2013,1,71,31701,  전문 서비스업 ,1972-05-17,,328636.6,24206.28,140022.0,78097.32,0.0,0.0,86311.0,887.0
한신공영(주),4960,2012,1,41,64101,  종합 건설업 ,1976-07-07,,83871.47,9811.22,57065.0,14989.26,0.0,0.0,1974.47,703.0
한신공영(주),4960,2013,1,41,64101,  종합 건설업 ,1976-07-07,,80606.76,-775.56,63540.0,15940.32,0.0,0.0,1902.39,725.0
한화오션(주),42660,2012,1,31,33101,  기타 운송장비 제조업 ,2001-02-02,,-293219.75,-293219.75,0.0,0.0,0.0,0.0,0.0,12781.0
한화오션(주),42660,2013,1,31,33101,  기타 운송장비 제조업 ,2001-02-02,,-1124114.66,-1124114.66,0.0,0.0,0.0,0.0,0.0,13298.0
한화오션(주),42660,2014,1,31,33101,  기타 운송장비 제조업 ,2001-02-02,,1042817.4,-1010005.27,1610571.0,89760.67,96608.0,0.0,255883.0,13602.0
한화오션(주),42660,2015,1,31,33101,  기타 운송장비 제조업 ,2001-02-02,,-1047045.56,-3124361.44,1664754.0,74784.88,97066.0,0.0,240711.0,13199.0
현대건설(주),720,2013,1,41,64102,  종합 건설업 ,1984-12-22,,2022823.0,673199.0,1256200.0,157.0,0.0,0.0,93263.0,7468.0
현대건설(주),720,2014,1,41,64102,  종합 건설업 ,1984-12-22,,2399598.0,673017.0,1540530.0,31992.0,0.0,0.0,154054.0,7226.0
현대건설(주),720,2015,1,41,64102,  종합 건설업 ,1984-12-22,,2715180.0,898137.0,1591811.0,29408.0,0.0,0.0,195819.0,7131.0
