기업명,거래소코드,기업유형,결산기,이익 과대계상 (비용 과소계상),회사명,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,총자본증가율,유형자산증가율,비유동생물자산증가율,투자부동산증가율,비유동자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,종업원1인당 부가가치증가율,종업원수증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,총자본순이익률,자기자본정상영업이익률,자기자본순이익률,경영자본정상영업이익률,경영자본순이익률,자본금정상영업이익률,자본금순이익률,매출원가 대 매출액비율,영업비용 대 영업수익비율,기타손익비률,금융손익비율,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,세금과공과 대 세금과공과 차감전순이익률,기업순이익률,수지비율(관계기업투자손익 제외),인건비 대 총비용비율,R & D 투자효율,세금과공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,유보율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,1주당정상영업이익,유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,"매출채권 대 상,제품비율",매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,정상영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,"상품,제품회전률","원,부재료회전률",재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치,종업원1인당 부가가치,종업원1인당 매출액,종업원1인당 정상영업이익,종업원1인당 순이익,종업원1인당 인건비,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치,법인세비용차감전(계속사업)손익,인건비,금융비용,임차료,세금과공과,감가상각비,종업원1인당 부가가치,총자본투자효율,기계투자효율,부가가치율,종업원수
(주)케이티앤지,33780,코스피,2015,1.0,(주)케이티앤지,1,12,31201,담배 제조업,1999/10/08,,17.35,2.27,0,-0.45,3.64,26.81,7.07,10.55,0.80,14.15,29.40,37.24,,,,,61.19,33.05,25.31,17.82,17.18,13.16,22.99,17.80,20.37,15.6,143.08,109.66,38.81,66.95,1.54,1.91,-1.01,0.9,5.99,26.84,12.63,67.06,22.94,0.0,0.0,-1.44,5.29,12.84,131.53,-2.09,2.59,2.83,582.31,,,92.06,,,,"30,111.15","8,314","9,169.56",,"9,952",63.94,37.7,177.32,39.84,36.06,72.61,27.39,647.02,49.66,45.83,299.90,186.85,16.29,49.06,56.55,"1,001.26",162.99,4.90,37.72,29.36,68.81,8.36,14.24,42.62,3.82,5.26,160.75,"999,999,999",65.42,5.88,118.77,73.58,176,42.94,308.11,11.76,24.43,0,0.52,0.62,0.7,4.33,2.06,42.26,8.64,0.84,1.42,2.07,176.70,7.21,5.37,7.20,4.34,84.06,1.36,2.44,0.65,0,0.0,"2,209,372.80",,,,,,,,,25.73,139.10,650.24,53.44,30.22,69.78,47.35,"2,209,372.80","1,429,857.73","667,611","-41,923.93",0,0,"153,828",,25.73,650.24,53.44,
(주)케이티앤지,33780,코스피,2016,1.0,(주)케이티앤지,1,12,31201,담배 제조업,1999/10/08,,13.32,-4.57,0,29.25,3.48,18.86,6.99,13.20,8.10,7.50,15.56,18.74,,,,,60.3,32.87,26.94,16.66,16.04,13.14,22.1,18.37,18.89,15.48,153.81,126.73,39.7,67.13,2.29,1.27,-1.13,0.91,5.98,23.38,12.59,66.47,21.87,0.0,0.0,-1.62,4.94,12.43,135.06,-2.0,2.49,2.17,666.80,,,92.51,,,,"32,549.89","9,592","10,844.10",,"10,698.57",67.07,33.93,203.67,44.31,32.93,72.51,27.49,732.43,45.42,42.18,305.95,202.13,31.57,49.72,50.41,"1,067.58",155.52,4.66,37.92,30.23,54.2,7.68,12.34,45.15,2.6,3.59,232.85,"999,999,999",66.07,6.73,134.44,70.49,185.12,51.36,542.67,14.12,30.74,0,0.49,0.57,0.67,4.68,1.78,43.70,8.35,0.74,1.16,2.09,174.95,6.72,5.77,7.27,4.22,86.43,1.42,2.67,0.56,0,0.0,"2,355,831.77",,,,,,,,,24.21,148.89,730.54,52.72,28.92,71.08,51.10,"2,355,831.77","1,571,030.13","681,218","-50,383.36",0,0,"153,967",,24.21,730.54,52.72,
(주)케이티앤지,33780,코스피,2017,1.0,(주)케이티앤지,1,12,31201,담배 제조업,1999/10/08,,2.98,8.81,0,4.52,7.19,0.92,4.67,11.55,4.44,-1.89,0.07,4.61,,,,,59.17,30.88,25.96,15.23,14.59,12.27,19.32,16.37,17.21,14.47,150.90,126.81,40.83,69.12,-0.90,0.89,-1.16,-3.05,6.32,13.42,11.72,71.27,19.73,0.0,0.0,-1.57,4.7,12.82,134.30,-2.25,3.07,3.22,751.41,,,92.93,,,,"33,994.53","9,591","8,314.26",,"10,496.26",65.72,35.19,191.75,42.59,34.28,78.44,21.56,817.05,43.70,41.87,362.57,234.97,39.37,44.80,48.60,"1,515.08",144.10,2.96,27.48,23.11,63.94,4.37,7.21,47.6,2.78,3.55,168.03,"999,999,999",72.19,7.57,140.47,71.12,181.63,60.88,471.47,13.12,28.18,0,0.47,0.56,0.63,4.89,1.93,54.37,6.71,0.71,1.09,2.06,177.22,6.53,5.78,7.08,4.36,83.66,1.41,2.74,0.55,0,0.0,"2,193,126.18",,,,,,,,,21.89,131.64,701.16,46.99,31.24,68.76,55.24,"2,193,126.18","1,399,152.18","685,036","-54,363",0,0,"163,301",,21.89,701.16,46.99,
(주)케이티앤지,33780,코스피,2018,1.0,(주)케이티앤지,1,12,31201,담배 제조업,1999/10/08,,1.77,2.45,0,55.78,10.19,-2.62,6.19,4,-4.19,-13.02,-25.16,-31.83,,,,,58.94,28.03,20.20,12.77,12.4,8.94,15.64,11.39,14.92,10.75,131.26,94.91,41.06,71.97,1.54,1.89,-0.69,-0.06,6.32,31.69,8.63,71.74,22.11,0.0,0.0,-0.92,4.52,11.84,144.68,-1.48,3.05,2.74,784.08,,,93.90,,,,"32,569.26","7,178","5,987.63",,"9,129.85",62.89,38.38,169.47,38.75,37.11,80.1,19.9,849.71,46.33,44.23,390.89,240.88,56.86,36.41,51.57,"1,234.92",101.84,2.95,24.85,20.09,59.07,4.76,8.15,46.8,2.24,2.80,180.18,"999,999,999",73.95,7.90,145.35,80.72,186.20,48.37,429.85,9.63,21.96,0,0.44,0.53,0.56,4.68,2.13,63.38,5.76,0.69,1.09,1.87,195.05,5.59,5.44,6.52,4.62,78.96,1.24,2.49,0.54,0,0.0,"2,185,943.41",,,,,,,,,21.44,129.43,669.50,48.89,33.97,66.03,41.33,"2,185,943.41","1,322,483.57","742,597","-30,965.16",0,0,"151,828",,21.44,669.50,48.89,
대한전선(주),1440,코스피,2012,1.0,대한전선(주),1,28,32803,전기장비 제조업,1968/12/27,,-18.24,-1.33,0.0,21.34,-5.15,-29.67,28.30,-20.02,-18.69,0,0,0,,,,,4.68,-2.64,-22.85,-1.15,-2.08,-18.06,-26.04,-226.14,-2.92,-25.32,-20.45,-147.48,95.32,102.64,-15.37,-13.72,4.97,0.27,0.04,0,-14.13,115.61,3.4,0,0.0,4.03,1.05,5.9,29.15,4.27,8,7.17,-7.52,,,90.72,,,,"18,711.80","-16,805",-410.06,,-493.65,45.91,34.44,84.88,30.1,54.09,6.53,93.47,71.96,828.34,201.81,62.72,41.12,2.95,86.99,0,93.73,708.46,92.81,"1,431.39","1,120.94",75.74,310.46,0,-27.29,67.51,"1,033.86",-0.43,-2.62,-0.72,-0.08,63.30,63.26,81.86,-1.25,-1.73,-1.17,-1.33,-0.53,0.79,1.11,9.87,7.75,0.86,5.54,65.86,1.58,2.12,6.24,58.46,47.91,11.39,39.57,4.79,76.16,1.58,3.32,0.64,0.18,0.01,"-174,437.99",,,,,,,,,-6.06,-24.05,-115.45,-6.90,0,0,0,"-174,437.99","-455,675.99","106,024","125,780","16,714",0,"32,720",,-6.06,-115.45,-6.90,
(주)위니아딤채(위니아),71460,코스닥,2015,1.0,(주)위니아,6,28,32805,전기장비 제조업,2016/07/14,,-12.51,0.23,0.0,0,5.74,-25.10,3.97,11.37,8.22,0,0,0,,,,,26.13,2.46,1.69,4.77,4.69,3.21,24.31,16.68,4.8,3.29,118.83,81.52,73.87,97.54,-0.64,-0.39,0.43,0.04,4.85,7.20,4.04,98.19,15.03,0.74,0.0,0.44,3.61,22.12,0,1.02,13.13,9.11,405.20,,,79.27,,,,"24,612.31",415,"1,124.33",,605.08,50.66,52.81,102.68,23.91,49.34,21.76,78.24,505.20,226.72,118.91,86.59,40.86,3.20,75.36,0,69.28,90.64,108.77,359.52,268.85,50.1,90.67,0,-7.85,7.41,34.07,5.16,5.22,17.45,4.05,28.97,23.51,47.22,0.41,4.37,0.32,0.16,5.70,1.91,1.95,9.89,48.33,2.36,5.77,63.24,3.45,6.21,7.78,46.91,9.74,54.19,158.33,7.62,47.91,4.25,4.96,1.63,0.1,0.03,"93,161.37",,,,,,,,,45.96,113.20,"2,353.71",22.51,65.77,34.23,7.49,"93,161.37","7,523.71","61,272.80","1,783.98","9,130.48",0,"14,728.99",,45.96,"2,353.71",22.51,
(주)위니아딤채,71460,코스닥,2016,1.0,(주)위니아,6,28,32805,전기장비 제조업,2016/07/14,,37.29,18.39,0.0,0,24.33,48.62,143.65,74.22,2.5,-59.44,-86.20,-84.17,,,,,26.35,1.49,0.37,2.76,2.67,0.65,9.43,2.32,2.74,0.67,63.94,15.70,73.65,98.51,-1.10,-0.52,0.54,0.02,5.7,5.39,1.62,99.61,13.77,0.97,0.0,0.54,3.54,21.57,0,1.34,7.36,10.35,642.82,,,86.05,,,,"21,547.82",79,"-1,135.35",,321.52,57.75,51.28,136.71,28.14,42.25,31.06,68.94,742.82,136.01,96.13,103.04,50.20,3.93,77.71,"1,739.99",81.77,87.94,95.03,221.96,180.47,83.63,41.49,757.14,1.7,12.36,39.78,2.53,1.72,26.88,6.43,31.27,24.67,63.05,-1.15,-6.40,-0.79,-0.51,2.77,1.79,1.83,6.32,42.85,2.49,6.36,57.42,3.2,5.63,7.40,49.35,8.79,65.98,203.06,6.56,55.63,4.05,4.88,1.59,0.13,0.02,"92,709.06",,,,,,,,,32.15,94.66,"2,900.27",20.82,66.27,33.73,1.76,"92,709.06","1,724.83","61,441.18","2,401.80","11,329.19",0,"15,812.06",,32.15,"2,900.27",20.82,
(주)위니아딤채,71460,코스닥,2017,1.0,(주)위니아,6,28,32805,전기장비 제조업,2016/07/14,,18.86,36.94,0.0,0,33.64,8.05,16.09,1.70,11.12,1.10,36.65,125.63,,,,,27.29,1.36,0.45,2.23,2.13,0.71,7.44,2.47,2.2,0.73,44.73,14.85,72.71,98.64,-0.97,-0.74,0.7,0.12,4.6,-17.12,1.81,99.62,11.82,0.59,0.0,0.7,3.4,18.6,0,1.54,5.19,6.96,417.73,,,82.23,,,,"13,760.49",62,630.24,,186.81,52.5,55.09,110.54,23.58,47.5,26.58,73.42,506.45,178.72,101.12,99,44.46,3.67,61.56,0,66.82,68.74,92.14,276.28,199.54,46.16,76.74,0,-0.53,21.23,79.89,1.78,1.55,21.92,4.18,35,28.75,66.57,-0.16,-0.55,-0.12,-0.08,1.94,1.57,1.62,5.48,32.95,2.2,5.74,63.60,2.86,6.11,5.36,68.04,6.03,71.21,245.82,7.77,46.97,3.48,4.22,1.43,0.14,0.02,"94,228.50",,,,,,,,,27.5,69.89,"1,077.46",19.04,62.42,37.58,2.37,"94,228.50","1,904.07","58,815.75","3,465.23","13,108.85",0,"16,934.61",,27.5,"1,077.46",19.04,
(주)시큐브,131090,코스닥,2015,1.0,(주)시큐브,5,58,105802,출판업,2011/12/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)시큐브,131090,코스닥,2016,1.0,(주)시큐브,5,58,105802,출판업,2011/12/21,,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,,,,,60.85,14.60,8.71,7.91,7.48,4.46,10.17,6.83,7.62,4.54,65.06,43.60,39.15,85.40,-6.71,0.78,-0.85,-0.07,0.09,-10.36,4.03,92.19,33.65,0,0.0,-0.91,5.14,20.35,34.40,-1.65,0.0,0.0,622.59,,,97.76,,,,"2,228.22",212,558.99,,325.31,84.41,0.0,541.37,84.41,15.59,73.57,26.43,638.41,21.19,21.08,324.09,324.08,107.11,"981,343.84",0,126.61,0,"775,093.38",35.92,35.40,0.0,0.52,0.66,58.36,0.0,0,"999,999,999","999,999,999",71.75,6.24,164.78,30.44,191.64,48.63,0,12.85,25.09,0,0.51,0.52,0.7,4.46,1.94,2.36,154.85,0.61,0.61,"18,269.84",0.02,0,0,0,1.86,196.06,3.29,5.18,0.46,0.0,0.02,"6,544.15",,,,,,,,,22.12,223.91,0,43.19,72.61,27.39,20.17,"6,544.15","1,195.84","4,751.49",-128.81,0,0,725.64,,22.12,0,43.19,
(주)시큐브,131090,코스닥,2017,1.0,(주)시큐브,5,58,105802,출판업,2011/12/21,,11.93,-5.61,0.0,0,-6.27,15.29,60.16,11.81,0.71,25.93,109.79,109.58,,,,,57.81,18.26,20.36,9.36,8.89,9.91,12.1,13.53,9.02,10.05,81.93,91.46,42.19,81.74,3.80,0.54,-0.96,-0.42,0.23,7.67,9.45,78.87,41.61,0,0.0,-1.17,4.06,14.94,46.62,-1.76,0.0,0.0,699.09,,,98.97,,,,448.80,0,137.33,,81.93,86.94,0.0,665.91,86.94,13.06,73.31,26.69,713.78,17.81,17.79,326.97,326.96,149.78,"622,149.07",0.01,124.41,"622,266.19","500,073.87",36.40,36.27,0.0,0.13,0.16,60.35,0.0,0,"999,999,999","999,999,999",71.81,6.99,176.12,29.27,214.71,47.94,0,12.79,27.75,0,0.49,0.49,0.66,4.49,1.83,2.33,156.32,0.57,0.57,"14,144.69",0.03,"22,980.76",0,0,1.86,196.17,3.42,5.37,0.43,0.0,0.03,"8,833.85",,,,,,,,,26.68,320.22,0,57.89,59.17,40.83,35.17,"8,833.85","3,365.03","5,227.05",-146.53,0,0,509.92,,26.68,0,57.89,
(주)시큐브,131090,코스닥,2018,1.0,(주)시큐브,5,58,105802,출판업,2011/12/21,,-1.09,-2.16,0.0,0,25.93,-5.15,-14.05,9.47,-8.58,-17.40,-16.48,-14.67,,,,,53.65,16.49,18.62,7.42,6.99,7.89,9.05,10.22,7.06,7.97,65.74,74.20,46.35,83.51,2.74,1.08,-1.02,0.06,0.15,3.20,7.46,81.36,33.28,0,0.0,-1.21,4.98,15.04,40.04,-1.89,0.0,0.0,718.69,,,99.43,,,,387.51,79,75.74,,63.92,83.38,0.0,501.56,83.37,16.62,81.13,18.87,737.94,20.49,20.46,444.44,444.42,225.73,"538,075.74",0.01,136.29,"537,877.85","394,794.38",23.26,23.12,0.0,0.14,0.17,64.62,0.0,0,"999,999,999","999,999,999",79.01,7.19,201.02,35,232.58,59.84,0,11.29,26.51,0,0.42,0.43,0.55,3.99,1.86,2.50,145.85,0.5,0.5,"11,296.72",0.03,"11,295.94",0,0,1.94,188.46,2.86,5.11,0.39,0.0,0.02,"6,938.07",,,,,,,,,21.19,257.04,0,49.73,56.16,43.84,37.43,"6,938.07","2,682.77","3,896.14",-141.95,0,0,582.91,,21.19,0,49.73,
(주)시큐브,131090,코스닥,2019,1.0,(주)시큐브,5,58,105802,출판업,2011/12/21,,14.05,37.92,0.0,0,23.09,12.24,-10.34,18.20,30.58,119.47,98.14,96.84,,,,,65.09,27.72,28.25,14.83,14.41,14.68,17.42,17.76,14.56,14.83,136.49,139.08,34.91,72.28,0.64,0.87,-0.77,0.1,0.23,0.41,14.28,71.98,35.46,0,0.0,-1.06,5.01,13.42,38.39,-2.32,3.64,7.27,816.86,,,98.82,,,,479.39,147,171.11,,132.90,82.06,0.0,457.36,82.06,17.94,84.08,15.92,826.31,21.34,21.25,527.41,527.39,316.67,"443,808.26",0,129.19,"443,630.57","343,522.30",18.94,18.50,22.05,0.43,0.55,66.5,0.47,0.55,798.55,"999,999,999",83.12,8.17,159.05,33.33,202.78,77.6,"2,653.37",12.36,25.33,0,0.52,0.53,0.63,4.92,3.0,4.54,80.38,0.63,0.63,"16,827.03",0.02,"16,820.58",0,0,3.41,107.05,3.0,5.67,0.52,0.0,0.04,"10,357.81",,,,,,,,,27.73,278.22,0,56.86,45.44,54.56,49.68,"10,357.81","5,167.38","4,706.71",-140.95,0,0,664.38,,27.73,0,56.86,
(주)녹원씨엔아이,65560,코스닥,2015,1.0,(주)녹원씨엔아이,4,18,105802,인쇄 및 기록매체 복제업,2003/07/01,2024/07/29,13.15,315.14,0.0,0,51.56,-17.82,-61.85,-0.19,44.61,0,0,0,,,,,46.6,6.21,-188.66,1.96,1.95,-59.2,2.95,-112.94,2.82,-85.56,4.09,-122.86,53.4,93.79,-95.21,-5.70,5.84,0.0,0.46,0,-57.37,97.92,21.38,0,0.0,5.91,6.2,13.17,127.38,5.42,11.71,9.48,1.64,,,0.50,,,,317.15,-610,-250.23,,19.71,40.21,7.45,67.24,37.21,59.79,73.62,26.38,100.82,81.22,67.68,345.16,319.46,33.31,426.71,10.48,374.06,458.41,114.08,35.84,15.82,1.09,20.01,51.59,28.56,14.85,20.18,1.06,-14.23,25.6,0.53,150.77,167.89,158.40,-106.31,-188.82,-28.05,-94.89,1.06,0.31,0.45,0.47,0.66,0.93,6.87,53.10,0.66,0.76,5.45,66.94,13.62,9.09,0,3.38,108.08,0.6,0.91,0.46,0.51,0.01,"-4,094.76",,,,,,,,,-16.51,-798.25,"-1,088.27",-55.87,0,0,0,"-4,094.76","-6,522.54","1,550.47",428.15,0,0,449.16,,-16.51,"-1,088.27",-55.87,
(주)녹원씨엔아이,65560,코스닥,2016,1.0,(주)녹원씨엔아이,4,18,105802,인쇄 및 기록매체 복제업,2003/07/01,2024/07/29,-55.04,-99.03,0.0,0,-50.53,-61.75,-52.90,-19.46,-47.12,-615.05,0,0,,,,,18.17,-60.52,-284.59,-12.9,-13.05,-61.37,-16.75,-100.95,-24.05,-113.07,-18.31,-86.10,81.83,160.52,-224.07,-37.75,17.79,0.02,0.02,0,-57.54,154.54,14.7,0,0.0,9.02,3.53,27.77,173.11,17.37,82.97,31.53,-27.68,,,-42.13,,,,147.73,-428,-70.51,,-89.41,34.21,9.17,51.99,31.07,65.79,87.44,12.56,71.60,75.25,69.32,673.15,611.42,45.87,392.30,10.77,430.86,427.20,91.05,14.37,5.81,4.63,8.56,25.69,29.12,7.75,8.86,-3.27,-14.99,-33.8,-0.28,177.81,285.90,203.86,-272.43,-441.63,-34.23,-98.46,-3.40,0.22,0.4,0.28,0.3,0.98,6.65,54.87,0.56,0.61,7.10,51.43,7.66,96.99,0,1.71,213.77,0.35,0.59,0.45,0.46,0.0,"-8,947.59",,,,,,,,,-80.26,"-7,119.06","-14,562.42",-230.86,0,0,0,"-8,947.59","-11,030.25","1,123.44",689.67,0,0,269.56,,-80.26,"-14,562.42",-230.86,
(주)녹원씨엔아이,65560,코스닥,2017,0.0,(주)녹원씨엔아이,4,18,74607,인쇄 및 기록매체 복제업,2003/07/01,2024/07/29,922.64,"9,039.49",0.0,0,574.83,"1,591.63","1,121.25",399.19,469.56,0,0,0,,,,,63.14,34.38,1.94,13.16,12.13,0.68,25.99,1.46,13.22,0.74,80.28,4.52,36.86,65.62,-21.38,-10.45,10.67,-3.11,0.01,85.11,4.45,77.86,23.5,0,0.0,12.7,2.94,11.98,41.01,7.06,5.80,11.41,821.75,,,88.76,,,,"1,366.56",47,566.50,,469.80,56.58,6.62,130.33,52.84,43.42,42.68,57.32,919.88,101.72,98.82,100.93,94.25,12.36,319.89,720.13,901.47,"1,183.55",35.49,134.30,131.36,99.71,2.94,241.38,0.52,45.44,106.45,2.53,2.22,38.13,8.22,154.76,128.73,484.48,5.59,7.05,3.2,16.54,3.22,0.35,0.38,0.76,2.34,0.66,24.07,15.16,0.65,0.69,9.56,38.2,29.92,14.04,0,2.94,124.28,0.78,3.8,0.33,0.0,0.01,"10,130.26",,,,,,,,,8.89,88.19,799.96,45.89,43.03,56.97,4.22,"10,130.26","2,869.06","4,359.22","2,355.87",0,0,546.11,,8.89,799.96,45.89,
(주)녹원씨엔아이,65560,코스닥,2018,0.0,(주)녹원씨엔아이,4,18,74607,인쇄 및 기록매체 복제업,2003/07/01,2024/07/29,9.71,27.52,0.0,0,20.51,1.41,66.08,57.67,245.89,118.71,"1,352.07",792.20,,,,,34.42,21.74,8.12,14.93,13.88,5.19,26.48,9.90,15.25,5.7,260.90,97.52,65.58,78.26,-8.59,-5.64,5.66,0.28,0.01,38.21,8.8,86.41,17.13,0,0.0,6.37,1.25,8.97,11.32,7.6,15.10,12.56,933.43,,,90.92,,,,"5,135.76",509,223.98,,"1,116.39",52.31,10.84,109.67,46.64,47.69,61.34,38.66,"1,032.11",77.75,77.11,137.10,122.23,24.53,253.41,40.06,"2,010.61",592.36,12.60,63.02,62.20,0.0,0.82,3.57,14.15,29.49,48.07,2.98,3.32,55.48,9.33,85.09,71.48,144.99,12.91,16.92,4.99,8.17,3.84,0.64,0.7,1.22,12.0,1.34,63.38,5.76,1.18,1.29,13.44,27.16,36.46,22.50,0,4.83,75.61,1.4,5.84,0.63,0.0,0.01,"26,818.20",,,,,,,,,21.44,199.29,"2,262.35",35.12,43.30,56.70,23.13,"26,818.20","10,040.37","11,611.46","4,319.68",0,0,846.68,,21.44,"2,262.35",35.12,
(주)에스디생명공학,217480,코스닥,2018,1.0,(주)에스디생명공학,6,20,32004,화학물질 및 화학제품 제조업; 의약품 제외,2017/03/02,,17.24,11.79,0.0,0,2.32,26.77,108.88,4.25,22.94,-46.78,-53.49,-53.05,,,,,48.46,6.61,3.87,7.89,7.44,4.36,9.41,6.15,8.25,4.83,93.04,59.15,51.54,93.39,-1.28,0.04,-0.15,0.02,10.03,27.41,4.19,94.74,7.87,2.11,0.0,-0.16,1.36,14.24,37.24,-0.8,1.61,2.69,873.99,,,91.27,,,,"7,020.75",294,-891.98,,463.74,65.99,50.7,194.02,32.53,34.01,75.79,24.21,973.99,44.88,42.30,336.62,165.95,34.04,35.52,72.13,422.01,42.22,8.42,31.95,25.87,74.64,6.08,9.94,46.39,16.48,21.74,25.92,"999,999,999",68.32,9.15,56.58,32.24,85.55,-37.12,-54.54,-8.99,-8.62,0,1.13,1.25,1.43,14.09,5.36,30.04,12.15,1.77,3.04,4.22,86.56,5.26,30.25,71.29,9.03,40.41,3.1,3.96,1.39,0.0,0.01,"21,991.59",,,,,,,,,14.65,68.45,793.31,14.04,53.84,46.16,27.55,"21,991.59","8,346.91","11,839.87",-233.92,0,0,"2,038.73",,14.65,793.31,14.04,
(주)에스디생명공학,217480,코스닥,2019,1.0,(주)에스디생명공학,6,20,32004,화학물질 및 화학제품 제조업; 의약품 제외,2017/03/02,,-8.61,22.99,0.0,0,17.28,-21.95,-34.34,-16.91,-0.23,-258.60,-380.44,-382.54,,,,,32.46,-10.50,-12.56,-10.97,-11.42,-13.66,-15.63,-18.46,-12.36,-14.78,-146.40,-164.57,67.54,110.50,-0.41,0.45,-0.05,0.05,4.05,0,-13.71,110.63,7.9,2.18,0.0,-0.04,1.28,10.75,14.88,-0.19,2.27,2.29,709.31,,,89.51,,,,"6,971.17",-823,300.62,,-732,56.35,42.66,129.12,32.32,43.65,70.11,29.89,809.31,62.26,57.49,234.01,134.19,30.62,39,74.49,344.39,50.42,11.33,42.64,34.35,70.11,8.29,18.01,32.27,18.42,26.28,-28.61,"999,999,999",61.94,7.58,56.45,35.51,84.18,-16.04,-26.03,-4.79,-4.21,0,1.09,1.18,1.49,13.94,4.04,39.24,9.30,1.77,3.35,3.76,97.20,4.61,29.03,67.44,10.18,35.87,2.82,3.36,1.31,0.0,0.01,-817.41,,,,,,,,,-0.6,-1.60,-22.04,-0.52,0,0,0,-817.41,"-17,047.59","14,009.94",-75.02,0,0,"2,272.14",,-0.6,-22.04,-0.52,
(주)지투알(HS에드),35000,코스피,2012,1.0,(주)에이치에스애드,1,71,137105,전문 서비스업,1999/08/11,,-0.76,9.53,0,0,1.01,-0.88,0,4.01,3.63,17.96,59.16,32.40,,,,,31.39,4.5,3.66,4.82,4.14,3.36,13.83,11.08,4.2,3.42,85.98,69.84,68.61,95.5,0.68,0.57,-0.65,-0.09,0.21,32.20,2.77,94.95,18.85,0.0,0.13,-0.66,0.65,19.67,86.12,-0.85,12.24,14.97,582.94,,,92.69,,,,"20,271.48",0,-939.13,,911.91,93.34,0.0,"1,402.52",93.34,6.66,31.11,68.89,642.59,21.40,20.54,138.08,138.08,8.07,0,0,117.83,0,0,221.48,217.33,0.0,4.15,5.02,25.74,0.75,2.42,45.14,"999,999,999",28.23,5.85,101.60,7.18,106.74,3.61,331.18,2.49,2.70,0,0.92,0.93,3.07,19.11,1.31,2.06,177.19,0.98,0.98,0,0,0,0,0,1.81,201.42,13.94,92.7,0.57,0,0.04,"87,206.25",,,,,,,,,23.96,"2,302.34",0,25.97,70.72,29.28,14.09,"87,206.25","17,404.80","61,672.44","-2,173.42","7,759.80",424.66,"2,117.98",,23.96,0,25.97,
(주)셀트리온,68270,코스피,2012,1.0,(주)셀트리온,1,21,32101,의료용 물질 및 의약품 제조업,2018/02/09,,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,,,73.18,55.81,49.81,11.72,11.28,10.07,18.61,16.61,11.48,10.24,223.83,199.76,26.82,44.19,-2.25,-2.47,2.64,0.26,0.47,7.47,10.6,48.51,31.74,0.0,0.54,5.23,20.74,4.14,10.48,1.35,2.81,2.81,"1,178.40",,,97.32,,,,"3,005.39","1,009",179.97,,"1,677.35",33.31,13.51,49.95,28.81,66.69,60.6,39.4,"1,202.65",110.05,87.8,138.57,119.84,12.76,476.75,48.55,"18,061.56","1,035.81",2.64,65.02,39.67,56.32,25.35,165.69,9.27,34.57,57.04,11.62,21.29,59.38,11.78,164.83,330.01,486.35,3.07,3.50,1.21,5.99,21.14,0.2,0.21,0.33,4.01,0.51,170.08,2.15,0.61,0.7,4.49,81.30,9.75,10.75,110.11,0.94,387.61,0.3,0.47,0.35,0,0.0,"291,412.54",,,,,,,,,16.82,39.46,"2,440.15",83.21,19.26,80.74,59.86,"291,412.54","187,566.76","56,122.23","9,244.68","1,026.32",946.04,"36,679.19",,16.82,"2,440.15",83.21,
