기업명,기업코드,기업유형,결산기,이익 과대계상 (비용 과소계상),유형,유형,유형,유형,유형
에스엘(주),005850,코스피,2015,0,,,,,
에스엘(주),005850,코스피,2016,0,,,,,
에스엘(주),005850,코스피,2017,0,,,,,
에스엘(주),005850,코스피,2018,1,A-1,,,,
(주)에이앤티앤(에스에이치엔엘),050320,코스닥,2017,1,A-1,A-10,,,
(주)에이앤티앤,050320,코스닥,2018,0,,,,,
(주)케이티앤지,033780,코스피,2012,1,A-5,A-7,,,
(주)케이티앤지,033780,코스피,2013,1,A-5,A-7,A-10,,
(주)케이티앤지,033780,코스피,2014,1,A-5,A-7,A-10,,
(주)케이티앤지,033780,코스피,2015,1,A-5,A-9,A-10,A-7,
(주)케이티앤지,033780,코스피,2016,1,A-5,A-7,A-10,,
(주)케이티앤지,033780,코스피,2017,1,A-5,A-9,A-7,A-10,
(주)케이티앤지,033780,코스피,2018,1,A-5,,,,
네덱(주),,비상장,2016,1,A-2,A-4,,,
네덱(주),,비상장,2017,1,A-4,A-3,,,
대한전선(주),001440,코스피,2012,1,A-9,,,,
(주)위니아딤채(위니아),071460,코스닥,2015,1,A-1,,,,
(주)위니아딤채,071460,코스닥,2016,1,A-1,,,,
(주)위니아딤채,071460,코스닥,2017,1,A-1,,,,
(주)시큐브,131090,코스닥,2015,1,A-1,A-7,,,
(주)시큐브,131090,코스닥,2016,1,A-1,A-7,,,
(주)시큐브,131090,코스닥,2017,1,A-1,A-7,,,
(주)시큐브,131090,코스닥,2018,1,A-1,A-7,,,
(주)시큐브,131090,코스닥,2019,1,A-1,A-7,,,
(주)녹원씨엔아이,065560,코스닥,2015,1,A-5,,,,
(주)녹원씨엔아이,065560,코스닥,2016,1,A-5,,,,
(주)녹원씨엔아이,065560,코스닥,2017,0,,,,,
(주)녹원씨엔아이,065560,코스닥,2018,0,,,,,
(주)에스디생명공학,217480,코스닥,2018,1,A-10,,,,
(주)에스디생명공학,217480,코스닥,2019,1,A-10,,,,
(주)화승티엔드씨아이(화승공조),,비상장,2013,1,A-3,A-7,,,
(주)화승티엔드씨아이(화승공조),,비상장,2014,1,A-3,A-7,,,
(주)에이치에스애드,,비상장,2012,1,A-6,,,,
(주)에이치에스애드,,비상장,2013,1,A-6,,,,
(주)에이치에스애드,,비상장,2014,1,A-6,,,,
(주)에이치에스애드,,비상장,2015,1,A-6,,,,
(주)에이치에스애드,,비상장,2016,1,A-6,,,,
(주)에이치에스애드,,비상장,2017,1,A-6,,,,
(주)에이치에스애드,,비상장,2018,1,A-6,,,,
(주)지투알(HS에드),035000,코스피,2012,1,A-6,,,,
(주)지투알,035001,코스피,2013,1,A-6,,,,
(주)지투알,035002,코스피,2014,1,A-6,,,,
(주)지투알,035003,코스피,2015,1,A-6,,,,
(주)지투알,035004,코스피,2016,1,A-6,,,,
(주)지투알,035005,코스피,2017,1,A-6,,,,
(주)지투알,035006,코스피,2018,1,A-6,,,,
(주)코너스톤네트웍스((주)이디),,비상장,2016,1,A-10,,,,
(주)코너스톤네트웍스((주)이디),,비상장,2017,1,A-10,,,,
(주)코너스톤네트웍스((주)이디),,비상장,2018,1,A-10,,,,
(주)셀트리온,068270,코스피,2012,1,A-4,,,,
(주)셀트리온,068270,코스피,2013,1,A-4,,,,
(주)셀트리온,068270,코스피,2014,1,A-4,,,,
(주)셀트리온,068270,코스피,2015,1,A-4,,,,
(주)셀트리온,068270,코스피,2016,1,A-4,A-10,,,
(주)셀트리온,068270,코스피,2017,1,A-4,,,,
(주)셀트리온,068270,코스피,2018,1,A-4,,,,
(주)셀트리온,068270,코스피,2019,1,A-4,,,,
(주)셀트리온,068270,코스피,2020,1,A-4,,,,
(주)셀트리온헬스케어,091990,코스닥,2012,0,,,,,
(주)셀트리온헬스케어,091990,코스닥,2013,1,A-1,,,,
(주)셀트리온헬스케어,091990,코스닥,2014,1,A-1,,,,
(주)셀트리온헬스케어,091990,코스닥,2015,1,A-1,,,,
(주)셀트리온헬스케어,091990,코스닥,2016,1,A-1,,,,
(주)셀트리온헬스케어,091990,코스닥,2017,1,A-1,,,,
(주)셀트리온헬스케어,091990,코스닥,2018,1,A-1,,,,
(주)셀트리온제약,068760,코스닥,2012,1,A-4,,,,
(주)셀트리온제약,068760,코스닥,2013,1,A-4,,,,
(주)셀트리온제약,068760,코스닥,2014,1,A-4,,,,
(주)셀트리온제약,068760,코스닥,2015,1,A-4,,,,
(주)셀트리온제약,068760,코스닥,2016,1,A-4,A-2,,,
(주)셀트리온제약,068760,코스닥,2017,1,A-4,,,,
(주)자유투어,,비상장,2014,1,A-7,,,,
(주)자유투어,,비상장,2015,1,A-7,,,,
(주)자유투어,,비상장,2016,1,A-7,,,,
(주)자유투어,,비상장,2017,1,A-7,,,,
(주)자유투어,,비상장,2018,1,A-7,,,,
유네코(주),064510,코스닥,2014,1,A-9,,,,
유네코(주),064510,코스닥,2015,1,A-9,,,,
유네코(주),064510,코스닥,2016,1,A-9,,,,
유네코(주),064510,코스닥,2017,1,A-9,,,,
유네코(주),064510,코스닥,2018,1,A-9,,,,
유네코(주),064510,코스닥,2019,1,A-9,,,,
(주)서울제약,018680,코스닥,2016,1,A-1,,,,
(주)서울제약,018680,코스닥,2017,1,A-1,,,,
(주)서울제약,018680,코스닥,2018,1,A-1,,,,
(주)서울제약,018680,코스닥,2019,1,A-1,,,,
(주)엔에스엔,031860,코스닥,2017,1,A-10,,,,
(주)엔에스엔,031860,코스닥,2018,1,A-10,,,,
(주)에스에스알,275630,코스닥,2017,1,A-1,,,,
(주)에스에스알,275630,코스닥,2018,1,A-1,,,,
(주)에스에스알,275630,코스닥,2019,1,A-1,,,,
참존글로벌(주),158310,코스닥,2018,1,A-1,,,,
주은테크(주),,비상장,2018,1,A-1,,,,
주은테크(주),,비상장,2019,1,A-1,,,,
(주)네이처리퍼블릭,,비상장,2015,0,,,,,
(주)네이처리퍼블릭,,비상장,2016,0,,,,,
(주)네이처리퍼블릭,,비상장,2017,0,,,,,
(주)무평산업,,비상장,2015,1,A-3,,,,
(주)무평산업,,비상장,2016,1,A-3,,,,
(주)무평산업,,비상장,2017,1,A-3,,,,
(주)무평산업,,비상장,2018,1,A-3,,,,
(주)무평산업,,비상장,2019,1,A-3,,,,
대주이엔티(주),114920,코넥스,2012,1,,,,,
대주이엔티(주),114920,코넥스,2013,1,,,,,
대주이엔티(주),114920,코넥스,2014,1,,,,,
대주이엔티(주),114920,코넥스,2015,1,,,,,
대주이엔티(주),114920,코넥스,2016,1,,,,,
대주이엔티(주),114920,코넥스,2017,1,,,,,
대주이엔티(주),114920,코넥스,2018,1,,,,,
대주이엔티(주),114920,코넥스,2019,0,,,,,
(주)엘파텍,,비상장,2018,0,,,,,
(주)엘파텍,,비상장,2019,0,,,,,
(주)레드로버,,비상장,2018,0,,,,,
(주)레드로버,,비상장,2019,0,,,,,
(주)매일방송,,비상장,2017,1,A-6,A-2,,,
(주)매일방송,,비상장,2018,1,A-6,A-2,,,
(주)매일경제신문사,,비상장,2012,1,A-1,A-6,,,
(주)매일경제신문사,,비상장,2013,1,A-1,A-6,,,
(주)매일경제신문사,,비상장,2014,1,A-1,A-6,,,
(주)매일경제신문사,,비상장,2015,1,A-1,A-6,,,
(주)매일경제신문사,,비상장,2016,1,A-1,A-6,,,
(주)매일경제신문사,,비상장,2017,1,A-1,A-6,,,
(주)매일경제신문사,,비상장,2018,1,A-1,A-6,,,
삼화전자공업(주),011230,코스피,2016,1,A-2,,,,
삼화전자공업(주),011230,코스피,2017,1,A-9,A-10,A-2,,
(주)신흥,004080,코스피,2014,1,A-2,,,,
(주)신흥,004080,코스피,2015,1,A-2,,,,
(주)신흥,004080,코스피,2016,1,A-2,,,,
